stim_angle,stim_laterality,stim_view,stim_timing,stim_file,stim_correct_key
180,right,palmar,1.3399999999999999,stimuli/right_palmar.png,l
0,left,palmar,0.3400000000000001,stimuli/left_palmar.png,s
180,right,dorsal,0.10000000000000009,stimuli/right_dorsal.png,l
270,left,palmar,0.08000000000000007,stimuli/left_palmar.png,s
90,left,dorsal,0.96,stimuli/left_dorsal.png,s
0,left,dorsal,1.1400000000000001,stimuli/left_dorsal.png,s
0,right,dorsal,0.1200000000000001,stimuli/right_dorsal.png,l
180,left,palmar,0.56,stimuli/left_palmar.png,s
180,right,dorsal,1.94,stimuli/right_dorsal.png,l
90,right,dorsal,0.8,stimuli/right_dorsal.png,l
270,right,palmar,1.58,stimuli/right_palmar.png,l
0,right,dorsal,0.8799999999999999,stimuli/right_dorsal.png,l
90,left,dorsal,0.040000000000000036,stimuli/left_dorsal.png,s
270,left,palmar,0.48,stimuli/left_palmar.png,s
90,left,palmar,1.26,stimuli/left_palmar.png,s
90,right,palmar,1.58,stimuli/right_palmar.png,l
0,left,palmar,0.040000000000000036,stimuli/left_palmar.png,s
270,left,dorsal,1.1,stimuli/left_dorsal.png,s
180,right,dorsal,0.54,stimuli/right_dorsal.png,l
270,left,palmar,0.6399999999999999,stimuli/left_palmar.png,s
180,left,palmar,0.76,stimuli/left_palmar.png,s
180,right,palmar,0.06000000000000005,stimuli/right_palmar.png,l
270,left,palmar,1.94,stimuli/left_palmar.png,s
90,left,dorsal,1.04,stimuli/left_dorsal.png,s
0,left,palmar,1.78,stimuli/left_palmar.png,s
270,right,palmar,0.040000000000000036,stimuli/right_palmar.png,l
180,left,palmar,1,stimuli/left_palmar.png,s
180,right,palmar,1.54,stimuli/right_palmar.png,l
180,right,dorsal,1.24,stimuli/right_dorsal.png,l
180,left,dorsal,1.76,stimuli/left_dorsal.png,s
90,left,palmar,0.6599999999999999,stimuli/left_palmar.png,s
270,left,dorsal,1.3,stimuli/left_dorsal.png,s
0,left,dorsal,0.45999999999999996,stimuli/left_dorsal.png,s
180,right,palmar,0.6599999999999999,stimuli/right_palmar.png,l
90,left,palmar,1.4,stimuli/left_palmar.png,s
180,right,palmar,1.1800000000000002,stimuli/right_palmar.png,l
0,left,dorsal,0.6200000000000001,stimuli/left_dorsal.png,s
270,right,palmar,0.96,stimuli/right_palmar.png,l
270,left,palmar,1.42,stimuli/left_palmar.png,s
90,right,dorsal,1.1400000000000001,stimuli/right_dorsal.png,l
270,right,palmar,0.6200000000000001,stimuli/right_palmar.png,l
0,left,palmar,1,stimuli/left_palmar.png,s
270,right,dorsal,0.6399999999999999,stimuli/right_dorsal.png,l
0,right,dorsal,1.98,stimuli/right_dorsal.png,l
90,right,dorsal,1.3,stimuli/right_dorsal.png,l
0,right,palmar,1.9,stimuli/right_palmar.png,l
0,left,palmar,1.46,stimuli/left_palmar.png,s
270,left,palmar,0.26,stimuli/left_palmar.png,s
270,left,dorsal,0.76,stimuli/left_dorsal.png,s
90,right,dorsal,1.68,stimuli/right_dorsal.png,l
0,left,palmar,0.6599999999999999,stimuli/left_palmar.png,s
90,left,palmar,1.92,stimuli/left_palmar.png,s
90,right,dorsal,0.6000000000000001,stimuli/right_dorsal.png,l
90,right,palmar,0.3799999999999999,stimuli/right_palmar.png,l
0,left,dorsal,0.8200000000000001,stimuli/left_dorsal.png,s
180,right,palmar,1.96,stimuli/right_palmar.png,l
270,left,dorsal,0.19999999999999996,stimuli/left_dorsal.png,s
90,right,palmar,1.3199999999999998,stimuli/right_palmar.png,l
270,right,dorsal,1.3599999999999999,stimuli/right_dorsal.png,l
0,left,dorsal,1.88,stimuli/left_dorsal.png,s
0,right,palmar,0.96,stimuli/right_palmar.png,l
0,left,palmar,1.28,stimuli/left_palmar.png,s
90,right,dorsal,1.5,stimuli/right_dorsal.png,l
0,left,dorsal,0.26,stimuli/left_dorsal.png,s
90,right,palmar,1.74,stimuli/right_palmar.png,l
90,right,dorsal,0.26,stimuli/right_dorsal.png,l
180,right,palmar,0.24,stimuli/right_palmar.png,l
180,left,dorsal,0.96,stimuli/left_dorsal.png,s
90,left,palmar,0.10000000000000009,stimuli/left_palmar.png,s
270,right,dorsal,1.88,stimuli/right_dorsal.png,l
0,right,dorsal,1.12,stimuli/right_dorsal.png,l
0,right,dorsal,1.3399999999999999,stimuli/right_dorsal.png,l
270,right,dorsal,1.78,stimuli/right_dorsal.png,l
180,left,palmar,1.74,stimuli/left_palmar.png,s
180,right,dorsal,1.68,stimuli/right_dorsal.png,l
90,right,palmar,0,stimuli/right_palmar.png,l
0,right,palmar,0.48,stimuli/right_palmar.png,l
0,right,dorsal,0.6399999999999999,stimuli/right_dorsal.png,l
180,left,palmar,0.8400000000000001,stimuli/left_palmar.png,s
90,left,palmar,0.8799999999999999,stimuli/left_palmar.png,s
180,left,dorsal,1.3599999999999999,stimuli/left_dorsal.png,s
0,right,palmar,0.6599999999999999,stimuli/right_palmar.png,l
0,right,dorsal,0.54,stimuli/right_dorsal.png,l
0,left,palmar,1.82,stimuli/left_palmar.png,s
180,left,dorsal,1.1,stimuli/left_dorsal.png,s
0,right,palmar,0.21999999999999997,stimuli/right_palmar.png,l
90,left,palmar,0.3799999999999999,stimuli/left_palmar.png,s
180,left,palmar,0.28,stimuli/left_palmar.png,s
90,right,dorsal,0.020000000000000018,stimuli/right_dorsal.png,l
270,left,dorsal,1.52,stimuli/left_dorsal.png,s
180,right,palmar,0.54,stimuli/right_palmar.png,l
270,right,palmar,1.1,stimuli/right_palmar.png,l
270,right,palmar,1.24,stimuli/right_palmar.png,l
270,right,palmar,0.41999999999999993,stimuli/right_palmar.png,l
270,left,dorsal,1.92,stimuli/left_dorsal.png,s
90,left,dorsal,1.8,stimuli/left_dorsal.png,s
270,right,palmar,1.62,stimuli/right_palmar.png,l
90,right,palmar,1.92,stimuli/right_palmar.png,l
90,left,palmar,1.1400000000000001,stimuli/left_palmar.png,s
90,right,palmar,0.96,stimuli/right_palmar.png,l
0,right,dorsal,1.56,stimuli/right_dorsal.png,l
90,left,dorsal,1.5,stimuli/left_dorsal.png,s
0,left,dorsal,1.42,stimuli/left_dorsal.png,s
90,right,palmar,0.43999999999999995,stimuli/right_palmar.png,l
180,left,dorsal,1.96,stimuli/left_dorsal.png,s
270,right,dorsal,1.06,stimuli/right_dorsal.png,l
90,left,dorsal,0.56,stimuli/left_dorsal.png,s
270,left,palmar,1.7,stimuli/left_palmar.png,s
0,right,palmar,0.020000000000000018,stimuli/right_palmar.png,l
270,right,dorsal,0.8,stimuli/right_dorsal.png,l
180,right,dorsal,0.6799999999999999,stimuli/right_dorsal.png,l
0,left,palmar,0.8200000000000001,stimuli/left_palmar.png,s
270,left,dorsal,0.54,stimuli/left_dorsal.png,s
270,right,dorsal,1.46,stimuli/right_dorsal.png,l
180,left,dorsal,0.32000000000000006,stimuli/left_dorsal.png,s
180,right,dorsal,1.1,stimuli/right_dorsal.png,l
0,right,palmar,1,stimuli/right_palmar.png,l
270,left,dorsal,1.6400000000000001,stimuli/left_dorsal.png,s
0,right,palmar,1.2,stimuli/right_palmar.png,l
0,left,dorsal,0.08000000000000007,stimuli/left_dorsal.png,s
90,left,dorsal,0.7,stimuli/left_dorsal.png,s
90,left,palmar,0.54,stimuli/left_palmar.png,s
90,right,dorsal,0.5,stimuli/right_dorsal.png,l
90,right,dorsal,1.8,stimuli/right_dorsal.png,l
180,left,dorsal,1.52,stimuli/left_dorsal.png,s
180,right,palmar,1.62,stimuli/right_palmar.png,l
90,left,dorsal,1.3599999999999999,stimuli/left_dorsal.png,s
0,left,palmar,0.5800000000000001,stimuli/left_palmar.png,s
0,left,dorsal,1.7,stimuli/left_dorsal.png,s
270,right,palmar,1.8,stimuli/right_palmar.png,l
90,left,palmar,1.76,stimuli/left_palmar.png,s
180,left,palmar,1.96,stimuli/left_palmar.png,s
180,left,dorsal,0.7,stimuli/left_dorsal.png,s
270,right,palmar,0.3799999999999999,stimuli/right_palmar.png,l
0,right,palmar,1.54,stimuli/right_palmar.png,l
0,right,palmar,1.68,stimuli/right_palmar.png,l
180,left,dorsal,0.06000000000000005,stimuli/left_dorsal.png,s
180,left,dorsal,0.41999999999999993,stimuli/left_dorsal.png,s
270,left,palmar,1.04,stimuli/left_palmar.png,s
180,right,dorsal,0.19999999999999996,stimuli/right_dorsal.png,l
270,left,dorsal,0.8799999999999999,stimuli/left_dorsal.png,s
270,left,palmar,1.3599999999999999,stimuli/left_palmar.png,s
90,left,dorsal,0.3400000000000001,stimuli/left_dorsal.png,s
270,right,dorsal,0.5,stimuli/right_dorsal.png,l
180,right,dorsal,0.8,stimuli/right_dorsal.png,l
180,left,palmar,0.10000000000000009,stimuli/left_palmar.png,s
0,right,dorsal,1.68,stimuli/right_dorsal.png,l
0,right,dorsal,0.28,stimuli/right_dorsal.png,l
